old_locus_tag	GO RNA-binding	Protein names	Gene Names	Gene Names (ordered locus)	small_ribosomal	large_ribosomal	ribosomal protein
slr0120	True	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ (EC 2.1.1.200) (tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase) (tRNA Cm32/Um32 methyltransferase)	trmJ slr0120	slr0120	False	False	False
slr0880	True	Rqc2 homolog RqcH (RqcH)	rqcH slr0880	slr0880	False	False	False
sll0216	True	Sll0216 protein	sll0216	sll0216	False	False	False
slr1110	True	Slr1110 protein	slr1110	slr1110	False	False	False
ssr1766	True	Ssr1766 protein	ssr1766	ssr1766	False	False	False
slr1540	True	Slr1540 protein	slr1540	slr1540	False	False	False
ssr1480	True	RNA-binding protein	ssr1480	ssr1480	False	False	False
sll2002	True	Sll2002 protein	sll2002	sll2002	False	False	False
slr1999	True	Slr1999 protein	slr1999	slr1999	False	False	False
sll1252	True	Sll1252 protein	sll1252	sll1252	False	False	False
sll1866	True	Sll1866 protein	sll1866	sll1866	False	False	False
slr1472	True	Slr1472 protein	slr1472	slr1472	False	False	False
slr0950	True	Slr0950 protein	slr0950	slr0950	False	False	False
slr0287	True	Slr0287 protein	slr0287	slr0287	False	False	False
slr0006	True	Slr0006 protein	slr0006	slr0006	False	False	False
slr0193	True	RNA-binding protein	slr0193	slr0193	False	False	False
slr6100	True	Slr6100 protein	slr6100	slr6100	False	False	False
